species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,species_Adelie,species_Chinstrap,species_Gentoo,island_Biscoe,island_Dream,island_Torgersen,Gender_ecoding,bill_ratio,Flipper-to-Mass Ratio,size_class
Adelie,Torgersen,39.1,18.7,181.0,3750.0,Male,1,0,0,0,0,1,1,2.0909090909090913,0.048266666666666666,medium
Adelie,Torgersen,39.5,17.4,186.0,3800.0,Female,1,0,0,0,0,1,0,2.270114942528736,0.04894736842105263,medium
Adelie,Torgersen,40.3,18.0,195.0,3250.0,Female,1,0,0,0,0,1,0,2.238888888888889,0.06,small
Adelie,Torgersen,43.9219298245614,17.151169590643278,200.91520467836258,4201.754385964912,Male,1,0,0,0,0,1,1,2.5608708253064423,0.047816979819067504,medium
Adelie,Torgersen,36.7,19.3,193.0,3450.0,Female,1,0,0,0,0,1,0,1.9015544041450778,0.05594202898550724,small
Adelie,Torgersen,39.3,20.6,190.0,3650.0,Male,1,0,0,0,0,1,1,1.907766990291262,0.052054794520547946,medium
Adelie,Torgersen,38.9,17.8,181.0,3625.0,Female,1,0,0,0,0,1,0,2.185393258426966,0.049931034482758624,medium
Adelie,Torgersen,39.2,19.6,195.0,4675.0,Male,1,0,0,0,0,1,1,2.0,0.04171122994652406,medium
Adelie,Torgersen,34.1,18.1,193.0,3475.0,Male,1,0,0,0,0,1,1,1.8839779005524862,0.05553956834532374,small
Adelie,Torgersen,42.0,20.2,190.0,4250.0,Male,1,0,0,0,0,1,1,2.0792079207920793,0.04470588235294118,medium
Adelie,Torgersen,37.8,17.1,186.0,3300.0,Male,1,0,0,0,0,1,1,2.2105263157894735,0.056363636363636366,small
Adelie,Torgersen,37.8,17.3,180.0,3700.0,Male,1,0,0,0,0,1,1,2.184971098265896,0.04864864864864865,medium
Adelie,Torgersen,41.1,17.6,182.0,3200.0,Female,1,0,0,0,0,1,0,2.3352272727272725,0.056875,small
Adelie,Torgersen,38.6,21.2,191.0,3800.0,Male,1,0,0,0,0,1,1,1.8207547169811322,0.05026315789473684,medium
Adelie,Torgersen,34.6,21.1,198.0,4400.0,Male,1,0,0,0,0,1,1,1.6398104265402844,0.045,medium
Adelie,Torgersen,36.6,17.8,185.0,3700.0,Female,1,0,0,0,0,1,0,2.056179775280899,0.05,medium
Adelie,Torgersen,38.7,19.0,195.0,3450.0,Female,1,0,0,0,0,1,0,2.0368421052631582,0.05652173913043478,small
Adelie,Torgersen,42.5,20.7,197.0,4500.0,Male,1,0,0,0,0,1,1,2.0531400966183577,0.04377777777777778,medium
Adelie,Torgersen,34.4,18.4,184.0,3325.0,Female,1,0,0,0,0,1,0,1.8695652173913044,0.05533834586466165,small
Adelie,Torgersen,46.0,21.5,194.0,4200.0,Male,1,0,0,0,0,1,1,2.13953488372093,0.04619047619047619,medium
Adelie,Biscoe,37.8,18.3,174.0,3400.0,Female,1,0,0,1,0,0,0,2.065573770491803,0.051176470588235295,small
Adelie,Biscoe,37.7,18.7,180.0,3600.0,Male,1,0,0,1,0,0,1,2.016042780748663,0.05,medium
Adelie,Biscoe,35.9,19.2,189.0,3800.0,Female,1,0,0,1,0,0,0,1.8697916666666667,0.049736842105263156,medium
Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male,1,0,0,1,0,0,1,2.110497237569061,0.04683544303797468,medium
Adelie,Biscoe,38.8,17.2,180.0,3800.0,Male,1,0,0,1,0,0,1,2.255813953488372,0.04736842105263158,medium
Adelie,Biscoe,35.3,18.9,187.0,3800.0,Female,1,0,0,1,0,0,0,1.8677248677248677,0.049210526315789475,medium
Adelie,Biscoe,40.6,18.6,183.0,3550.0,Male,1,0,0,1,0,0,1,2.182795698924731,0.05154929577464789,medium
Adelie,Biscoe,40.5,17.9,187.0,3200.0,Female,1,0,0,1,0,0,0,2.2625698324022347,0.0584375,small
Adelie,Biscoe,37.9,18.6,172.0,3150.0,Female,1,0,0,1,0,0,0,2.0376344086021505,0.054603174603174605,small
Adelie,Biscoe,40.5,18.9,180.0,3950.0,Male,1,0,0,1,0,0,1,2.1428571428571432,0.04556962025316456,medium
Adelie,Dream,39.5,16.7,178.0,3250.0,Female,1,0,0,0,1,0,0,2.3652694610778444,0.05476923076923077,small
Adelie,Dream,37.2,18.1,178.0,3900.0,Male,1,0,0,0,1,0,1,2.0552486187845305,0.045641025641025644,medium
Adelie,Dream,39.5,17.8,188.0,3300.0,Female,1,0,0,0,1,0,0,2.2191011235955056,0.05696969696969697,small
Adelie,Dream,40.9,18.9,184.0,3900.0,Male,1,0,0,0,1,0,1,2.164021164021164,0.04717948717948718,medium
Adelie,Dream,36.4,17.0,195.0,3325.0,Female,1,0,0,0,1,0,0,2.1411764705882352,0.058646616541353384,small
Adelie,Dream,39.2,21.1,196.0,4150.0,Male,1,0,0,0,1,0,1,1.8578199052132702,0.047228915662650604,medium
Adelie,Dream,38.8,20.0,190.0,3950.0,Male,1,0,0,0,1,0,1,1.94,0.04810126582278481,medium
Adelie,Dream,42.2,18.5,180.0,3550.0,Female,1,0,0,0,1,0,0,2.2810810810810813,0.05070422535211268,medium
Adelie,Dream,37.6,19.3,181.0,3300.0,Female,1,0,0,0,1,0,0,1.9481865284974094,0.05484848484848485,small
Adelie,Dream,39.8,19.1,184.0,4650.0,Male,1,0,0,0,1,0,1,2.083769633507853,0.03956989247311828,medium
Adelie,Dream,36.5,18.0,182.0,3150.0,Female,1,0,0,0,1,0,0,2.0277777777777777,0.057777777777777775,small
Adelie,Dream,40.8,18.4,195.0,3900.0,Male,1,0,0,0,1,0,1,2.217391304347826,0.05,medium
Adelie,Dream,36.0,18.5,186.0,3100.0,Female,1,0,0,0,1,0,0,1.945945945945946,0.06,small
Adelie,Dream,44.1,19.7,196.0,4400.0,Male,1,0,0,0,1,0,1,2.238578680203046,0.04454545454545455,medium
Adelie,Dream,37.0,16.9,185.0,3000.0,Female,1,0,0,0,1,0,0,2.1893491124260356,0.06166666666666667,small
Adelie,Dream,39.6,18.8,190.0,4600.0,Male,1,0,0,0,1,0,1,2.106382978723404,0.041304347826086954,medium
Adelie,Dream,41.1,19.0,182.0,3425.0,Male,1,0,0,0,1,0,1,2.1631578947368424,0.053138686131386864,small
Adelie,Dream,37.5,18.9,179.0,2975.0,Male,1,0,0,0,1,0,1,1.9841269841269842,0.060168067226890755,small
Adelie,Dream,36.0,17.9,190.0,3450.0,Female,1,0,0,0,1,0,0,2.011173184357542,0.05507246376811594,small
Adelie,Dream,42.3,21.2,191.0,4150.0,Male,1,0,0,0,1,0,1,1.9952830188679245,0.04602409638554217,medium
